SMILES;pK_BHX
COc1cccc(c1)[N:1]=C(N(C)c1ccccc1)c1ccccc1;1.41
CC(C)(C)c1cccc[n:1]1;1.42
C=CC#[N:1];0.70
CN(C)C=[N:1]Cc1cccc(c1)C(F)(F)F;1.99
C[N:1]1CCc2ccccc2C1;1.80
Cc1[n:1]c2ccccc2o1;1.48
[O:1]=C1OC=CO1;0.69
C[N:1]=C(N(C)C)N(C)C;3.16
CN(C)C=CC#[N:1];1.70
CN(C)C=[N:1]N(C)C;2.43
CC1(C)C2CCC1(C)C(=[S:1])C2;0.34
CC(C)c1cccc[n:1]1;1.76
C[O:1]c1cccc(C)c1;0.05
CC(=O)n1cc[n:1]c1;1.86
Clc1ccc(cc1)S(=[O:1])c1ccc(Cl)cc1;1.68
[N:1]#CCc1ccccc1;0.81
c1ccc2c[n:1]ccc2c1;1.94
[S:1]=C1SCCS1;0.30
[OH:1]C12CC3CC(CC(C3)C1)C2;1.27
CC(=[O:1])C(F)(F)F;-0.06
C[N:1]=C(N(C)C)c1ccccc1;2.62
CN1CCCN(C)C1=[O:1];2.79
CN(C)C=[N:1]C1CC1;2.36
CC(C)N(C(C)C)C(=[O:1])C(C)(C)C;2.03
C[NH:1]CCc1ccccc1;2.14
C[N:1]=C(N(C)C)c1ccc(C)cc1;2.72
CCN(CC)C(=[S:1])N(C)C;1.29
[O:1]=C1C=COC=C1;2.03
CC(Nc1ccc(Cl)cc1)=[N:1]c1ccc(Cl)cc1;1.07
CN(C)C=[N:1]c1ccc(cc1)C(F)(F)F;1.43
CN(C)C=[N:1]C12CC3CC(CC(C3)C1)C2;2.52
c1coc[n:1]1;1.30
C[N:1]=Cc1ccccc1;1.49
C[N:1]=C(N(C)C)c1ccc(cc1)[N+]([O-])=O;1.99
c1ccc2[n:1]c3ccccc3cc2c1;1.95
Cc1c[n:1]cc(C)c1;2.21
C1C2CC3CC1CC(C2)C3C1[O:1]C1C1C2CC3CC(C2)CC1C3;1.44
CC[O:1]C=C;0.10
[O:1]=C1CCCCCO1;1.63
[O:1]=C1CCCCO1;1.57
CC(=[O:1])c1ccc(cc1)C(F)(F)F;0.78
CN(C)c1ccc(cc1)C#[N:1];1.23
CCN(CC)c1ccc(cc1)[N+]([O-:1])=O;0.90
COC(=O)c1ccc[n:1]c1;1.44
COC(=[O:1])c1cccnc1;0.51
O=C(c1ccccc1)c1ccc[n:1]c1;1.42
[O:1]=C(c1ccccc1)c1cccnc1;0.68
CC(=O)c1cc[n:1]cc1;1.41
CC(=[O:1])c1ccncc1;0.78
CCOC(=O)c1ccc(cc1)C#[N:1];0.66
CCOC(=[O:1])c1ccc(cc1)C#N;0.53
CCOC(=O)c1ccc(cc1)[N+]([O-:1])=O;0.16
CCOC(=[O:1])c1ccc(cc1)[N+]([O-])=O;0.5
CC(=[O:1])C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C;1.2
CC(=O)C1CCC2C3CCC4=CC(=[O:1])CCC4(C)C3CCC12C;1.75
CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2=[O:1];1.36
CC12CCC3C(CCC4=CC(=[O:1])C=CC34C)C1CCC2=O;1.84
CN1C(CCC1=O)c1ccc[n:1]c1;1.62
CN1C(CCC1=[O:1])c1cccnc1;2.16
CC(=O)c1ccc(cc1)[N+]([O-:1])=O;0.15
CC(=[O:1])c1ccc(cc1)[N+]([O-])=O;0.57
CC(=O)c1ccc(cc1)C#[N:1];0.65
CC(=[O:1])c1ccc(cc1)C#N;0.6
CCN(CC)C(=O)c1ccc[n:1]c1;1.63
CCN(CC)C(=[O:1])c1cccnc1;1.98
C(OCc1ccccc1)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1;-0.41
C([O:1]Cc1ccccc1)c1ccccc1;0.65
CCOCC[Cl:1];-0.1
CC[O:1]CCCl;0.44
ClCCOCC[Cl:1];-0.33
ClCC[O:1]CCCl;-0.03
[CH:1]#[C:1]c1ccccc1;-0.44
